,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
0,56,26,.683,—,111.5,105.7,5.22,1991,Boston Celtics*
1,44,38,.537,12.0,105.4,105.6,-0.39,1991,Philadelphia 76ers*
2,39,43,.476,17.0,103.1,103.3,-0.43,1991,New York Knicks*
3,30,52,.366,26.0,101.4,106.4,-4.84,1991,Washington Bullets
4,26,56,.317,30.0,102.9,107.5,-4.53,1991,New Jersey Nets
5,24,58,.293,32.0,101.8,107.8,-5.91,1991,Miami Heat
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1991,Central Division
7,61,21,.744,—,110.0,101.0,8.57,1991,Chicago Bulls*
8,50,32,.610,11.0,100.1,96.8,3.08,1991,Detroit Pistons*
9,48,34,.585,13.0,106.4,104.0,2.33,1991,Milwaukee Bucks*
10,43,39,.524,18.0,109.8,109.0,0.72,1991,Atlanta Hawks*
11,41,41,.500,20.0,111.7,112.1,-0.37,1991,Indiana Pacers*
12,33,49,.402,28.0,101.7,104.2,-2.33,1991,Cleveland Cavaliers
13,26,56,.317,35.0,102.8,108.0,-4.95,1991,Charlotte Hornets
0,56,26,.683,—,111.5,105.7,5.22,1991,Boston Celtics*
1,44,38,.537,12.0,105.4,105.6,-0.39,1991,Philadelphia 76ers*
2,39,43,.476,17.0,103.1,103.3,-0.43,1991,New York Knicks*
3,30,52,.366,26.0,101.4,106.4,-4.84,1991,Washington Bullets
4,26,56,.317,30.0,102.9,107.5,-4.53,1991,New Jersey Nets
5,24,58,.293,32.0,101.8,107.8,-5.91,1991,Miami Heat
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1991,Central Division
7,61,21,.744,—,110.0,101.0,8.57,1991,Chicago Bulls*
8,50,32,.610,11.0,100.1,96.8,3.08,1991,Detroit Pistons*
9,48,34,.585,13.0,106.4,104.0,2.33,1991,Milwaukee Bucks*
10,43,39,.524,18.0,109.8,109.0,0.72,1991,Atlanta Hawks*
11,41,41,.500,20.0,111.7,112.1,-0.37,1991,Indiana Pacers*
12,33,49,.402,28.0,101.7,104.2,-2.33,1991,Cleveland Cavaliers
13,26,56,.317,35.0,102.8,108.0,-4.95,1991,Charlotte Hornets
0,51,31,.622,—,106.6,103.0,3.41,1992,Boston Celtics*
1,51,31,.622,—,101.6,97.7,3.67,1992,New York Knicks*
2,40,42,.488,11.0,105.4,107.1,-1.54,1992,New Jersey Nets*
3,38,44,.463,13.0,105.0,109.2,-3.94,1992,Miami Heat*
4,35,47,.427,16.0,101.9,103.2,-1.34,1992,Philadelphia 76ers
5,25,57,.305,26.0,102.4,106.8,-4.35,1992,Washington Bullets
6,21,61,.256,30.0,101.6,108.5,-6.52,1992,Orlando Magic
7,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1992,Central Division
8,67,15,.817,—,109.9,99.5,10.07,1992,Chicago Bulls*
9,57,25,.695,10.0,108.9,103.4,5.34,1992,Cleveland Cavaliers*
10,48,34,.585,19.0,98.9,96.9,2.06,1992,Detroit Pistons*
11,40,42,.488,27.0,112.2,110.3,1.85,1992,Indiana Pacers*
12,38,44,.463,29.0,106.2,107.7,-1.15,1992,Atlanta Hawks
13,31,51,.378,36.0,105.0,106.7,-1.46,1992,Milwaukee Bucks
14,31,51,.378,36.0,109.5,113.4,-3.57,1992,Charlotte Hornets
0,51,31,.622,—,106.6,103.0,3.41,1992,Boston Celtics*
1,51,31,.622,—,101.6,97.7,3.67,1992,New York Knicks*
2,40,42,.488,11.0,105.4,107.1,-1.54,1992,New Jersey Nets*
3,38,44,.463,13.0,105.0,109.2,-3.94,1992,Miami Heat*
4,35,47,.427,16.0,101.9,103.2,-1.34,1992,Philadelphia 76ers
5,25,57,.305,26.0,102.4,106.8,-4.35,1992,Washington Bullets
6,21,61,.256,30.0,101.6,108.5,-6.52,1992,Orlando Magic
7,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1992,Central Division
8,67,15,.817,—,109.9,99.5,10.07,1992,Chicago Bulls*
9,57,25,.695,10.0,108.9,103.4,5.34,1992,Cleveland Cavaliers*
10,48,34,.585,19.0,98.9,96.9,2.06,1992,Detroit Pistons*
11,40,42,.488,27.0,112.2,110.3,1.85,1992,Indiana Pacers*
12,38,44,.463,29.0,106.2,107.7,-1.15,1992,Atlanta Hawks
13,31,51,.378,36.0,105.0,106.7,-1.46,1992,Milwaukee Bucks
14,31,51,.378,36.0,109.5,113.4,-3.57,1992,Charlotte Hornets
0,60,22,.732,—,101.6,95.4,5.87,1993,New York Knicks*
1,48,34,.585,12.0,103.7,102.8,0.93,1993,Boston Celtics*
2,43,39,.524,17.0,102.8,101.6,1.20,1993,New Jersey Nets*
3,41,41,.500,19.0,105.5,104.2,1.35,1993,Orlando Magic
4,36,46,.439,24.0,103.6,104.7,-0.93,1993,Miami Heat
5,26,56,.317,34.0,104.3,110.1,-5.25,1993,Philadelphia 76ers
6,22,60,.268,38.0,101.9,108.9,-6.49,1993,Washington Bullets
7,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1993,Central Division
8,57,25,.695,—,105.2,98.9,6.19,1993,Chicago Bulls*
9,54,28,.659,3.0,107.7,101.3,6.30,1993,Cleveland Cavaliers*
10,44,38,.537,13.0,110.1,110.4,-0.02,1993,Charlotte Hornets*
11,43,39,.524,14.0,107.5,108.4,-0.67,1993,Atlanta Hawks*
